Average females per simulations :             3.75479537E7
Average males per simulations   :             3.754764943E7
Average deaths per simulations  :             3.256174041E7
Average population size per simulations :     7.509560313E7
Average births per simulations          :     5.752501618E7

Average % females per simulations. :     50.0%
Average % males per simulations.   :     50.0%

------------ SIMULATION -------------

(1,8)

(2,41)

(3,234)

(4,1156)

(5,5654)

(6,28465)

(7,143895)

(8,717318)

(9,3573409)

(10,5660231)

(11,12211903)

(12,24998777)

(13,36236870)

(14,58500154)

(15,80779877)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,801)

(5,4110)

(6,20473)

(7,102806)

(8,511098)

(9,2552082)

(10,4140666)

(11,9279188)

(12,17969255)

(13,27358167)

(14,40888325)

(15,63984830)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,151)

(4,714)

(5,3804)

(6,18835)

(7,93864)

(8,470790)

(9,2350304)

(10,4099153)

(11,8691896)

(12,17855005)

(13,26507757)

(14,39457474)

(15,62027034)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,132)

(4,642)

(5,3138)

(6,15174)

(7,75531)

(8,377738)

(9,1883376)

(10,9405783)

(11,16015609)

(12,23771230)

(13,37898442)

(14,63152539)

(15,92809825)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,142)

(4,772)

(5,3915)

(6,19853)

(7,100164)

(8,499852)

(9,2498024)

(10,4233495)

(11,9252561)

(12,17592056)

(13,26448348)

(14,41352249)

(15,66584340)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,82)

(4,351)

(5,1780)

(6,9256)

(7,46818)

(8,236039)

(9,1177887)

(10,5882973)

(11,9492000)

(12,20606198)

(13,30308277)

(14,45955060)

(15,64071493)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,902)

(5,4469)

(6,22602)

(7,113411)

(8,564279)

(9,2819201)

(10,4881278)

(11,10470618)

(12,20234760)

(13,29601674)

(14,45948126)

(15,65485478)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,160)

(4,709)

(5,3447)

(6,16898)

(7,84249)

(8,422720)

(9,2104880)

(10,10525649)

(11,16776601)

(12,24179860)

(13,40296588)

(14,65226593)

(15,90119528)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,132)

(4,618)

(5,3067)

(6,14921)

(7,74138)

(8,368968)

(9,1842974)

(10,9210787)

(11,15075926)

(12,20985957)

(13,32890619)

(14,51319379)

(15,80340849)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,180)

(4,912)

(5,4737)

(6,23472)

(7,117722)

(8,585977)

(9,2927887)

(10,4604555)

(11,10054494)

(12,19679301)

(13,30769642)

(14,49897156)

(15,77722663)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,976)

(5,4827)

(6,23913)

(7,119660)

(8,595502)

(9,2976261)

(10,5140060)

(11,10830502)

(12,21785453)

(13,32307049)

(14,49653514)

(15,72988358)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,132)

(4,603)

(5,3010)

(6,14586)

(7,73020)

(8,362249)

(9,1804730)

(10,9006504)

(11,15007190)

(12,21222511)

(13,32577526)

(14,54486087)

(15,82893421)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,94)

(4,517)

(5,2874)

(6,14672)

(7,73770)

(8,369071)

(9,1842239)

(10,9200165)

(11,15031299)

(12,23109400)

(13,37912914)

(14,62284264)

(15,89239370)
------------ SIMULATION -------------

(1,8)

(2,16)

(3,29)

(4,148)

(5,702)

(6,3469)

(7,16807)

(8,84107)

(9,419968)

(10,2098120)

(11,10475979)

(12,17147191)

(13,23601171)

(14,39362946)

(15,65136886)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,132)

(4,548)

(5,2927)

(6,14586)

(7,72870)

(8,365557)

(9,1824344)

(10,9113346)

(11,14530586)

(12,20350055)

(13,31843825)

(14,49800357)

(15,79120050)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,76)

(4,226)

(5,1069)

(6,5573)

(7,28324)

(8,143312)

(9,716789)

(10,3586703)

(11,6095246)

(12,13242103)

(13,25291754)

(14,37391758)

(15,59004071)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,902)

(5,4591)

(6,23227)

(7,116573)

(8,582883)

(9,2913097)

(10,4659973)

(11,10195915)

(12,19443416)

(13,29417534)

(14,47123067)

(15,75603898)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,212)

(4,1096)

(5,5552)

(6,27861)

(7,139817)

(8,699452)

(9,3496529)

(10,5911179)

(11,12369871)

(12,25698537)

(13,37000826)

(14,57153851)

(15,80097864)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,968)

(5,5015)

(6,25238)

(7,127401)

(8,635118)

(9,3169960)

(10,5175030)

(11,11156091)

(12,21691696)

(13,33620782)

(14,53143482)

(15,77725152)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,196)

(4,868)

(5,4335)

(6,22090)

(7,111571)

(8,558223)

(9,2788035)

(10,4748743)

(11,10129737)

(12,20496676)

(13,30414842)

(14,48227214)

(15,68453839)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,241)

(4,1273)

(5,6445)

(6,32387)

(7,162317)

(8,811783)

(9,4055047)

(10,6471252)

(11,13735745)

(12,27408982)

(13,41516815)

(14,65207728)

(15,96251791)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,218)

(4,1068)

(5,5141)

(6,25281)

(7,126399)

(8,629850)

(9,3150052)

(10,5056633)

(11,10711034)

(12,20760218)

(13,31170300)

(14,47525818)

(15,66189818)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,178)

(4,918)

(5,4513)

(6,22531)

(7,113426)

(8,567130)

(9,2838648)

(10,4913391)

(11,10382239)

(12,20963865)

(13,32070301)

(14,50920872)

